,Area,Cancer Type,Year,Sex,Race,Age-Adjusted Rate,Case Count,Population,CancerType_val,Sex_val,Race_val
0,Utah,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,9.8,267,3153550,4,1,1
1,Connecticut,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,10.0,482,3571520,4,1,1
2,Hawaii,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,10.9,210,1420593,4,1,1
3,Colorado,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,11.0,666,5691287,4,1,1
4,Massachusetts,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,11.1,984,6882635,4,1,1
5,Washington,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,11.4,996,7523869,4,1,1
6,New York,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,11.6,2855,19530351,4,1,1
7,Montana,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,11.9,164,1060665,4,1,1
8,Minnesota,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,12.0,815,5606249,4,1,1
9,California,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,12.1,5387,39461588,4,1,1
10,Rhode Island,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,12.3,175,1058287,4,1,1
11,Oregon,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,12.3,656,4181886,4,1,1
12,District of Columbia,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,12.4,86,701547,4,1,1
13,New Hampshire,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,12.4,227,1353465,4,1,1
14,Arizona,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,12.5,1120,7158024,4,1,1
15,Wisconsin,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,12.5,933,5807406,4,1,1
16,Florida,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,12.6,3976,21244317,4,1,1
17,North Carolina,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,12.6,1577,10381615,4,1,1
18,Maine,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,12.7,252,1339057,4,1,1
19,New Jersey,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,12.9,1470,8886025,4,1,1
20,New Mexico,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,12.9,334,2092741,4,1,1
21,Michigan,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,13.0,1671,9984072,4,1,1
22,Delaware,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,13.0,167,965479,4,1,1
23,Wyoming,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,13.0,90,577601,4,1,1
24,South Carolina,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,13.0,828,5084156,4,1,1
25,North Dakota,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,13.1,116,758080,4,1,1
26,Vermont,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,13.2,114,624358,4,1,1
27,Virginia,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,13.3,1328,8501286,4,1,1
28,Idaho,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,13.4,272,1750536,4,1,1
29,Nevada,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,13.4,461,3027341,4,1,1
30,Maryland,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,13.6,982,6035802,4,1,1
31,Arkansas,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,13.7,520,3009733,4,1,1
32,Texas,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,13.7,3901,28628666,4,1,1
33,Pennsylvania,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,14.0,2466,12800922,4,1,1
34,Georgia,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,14.1,1591,10511131,4,1,1
35,Illinois,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,14.1,2177,12723071,4,1,1
36,Indiana,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,14.2,1137,6695497,4,1,1
37,Alaska,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,14.3,90,735139,4,1,1
38,Iowa,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,14.4,597,3148618,4,1,1
39,Tennessee,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,14.5,1196,6771631,4,1,1
40,Ohio,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,14.6,2183,11676341,4,1,1
41,Kansas,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,14.7,514,2911359,4,1,1
42,Missouri,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,14.7,1133,6121623,4,1,1
43,South Dakota,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,15.0,166,878698,4,1,1
44,Alabama,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,15.1,926,4887681,4,1,1
45,Nebraska,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,15.2,356,1925614,4,1,1
46,Louisiana,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,15.4,847,4659690,4,1,1
47,Oklahoma,Colon and Rectum,2018,Male and Female,All Races and Ethnicities,15.8,733,3940235,4,1,1
