,Area,Cancer Type,Year,Sex,Race,Age-Adjusted Rate,Case Count,Population,CancerType_val,Sex_val,Race_val
0,Hawaii,Ovary,2018,Female,All Races and Ethnicities,4.2,41,709302,7,3,1
1,North Dakota,Ovary,2018,Female,All Races and Ethnicities,4.6,22,370046,7,3,1
2,Maine,Ovary,2018,Female,All Races and Ethnicities,4.6,52,683374,7,3,1
3,South Carolina,Ovary,2018,Female,All Races and Ethnicities,5.4,194,2620391,7,3,1
4,North Carolina,Ovary,2018,Female,All Races and Ethnicities,5.4,378,5331288,7,3,1
5,Alaska,Ovary,2018,Female,All Races and Ethnicities,5.5,18,351692,7,3,1
6,Ohio,Ovary,2018,Female,All Races and Ethnicities,5.5,466,5953904,7,3,1
7,Utah,Ovary,2018,Female,All Races and Ethnicities,5.6,82,1565310,7,3,1
8,Colorado,Ovary,2018,Female,All Races and Ethnicities,5.8,193,2825526,7,3,1
9,New Jersey,Ovary,2018,Female,All Races and Ethnicities,5.9,378,4545338,7,3,1
10,Mississippi,Ovary,2018,Female,All Races and Ethnicities,5.9,117,1535497,7,3,1
11,Rhode Island,Ovary,2018,Female,All Races and Ethnicities,5.9,43,543427,7,3,1
12,Arkansas,Ovary,2018,Female,All Races and Ethnicities,6.0,125,1531624,7,3,1
13,Arizona,Ovary,2018,Female,All Races and Ethnicities,6.0,291,3600640,7,3,1
14,Texas,Ovary,2018,Female,All Races and Ethnicities,6.0,942,14409351,7,3,1
15,Montana,Ovary,2018,Female,All Races and Ethnicities,6.1,48,526813,7,3,1
16,Illinois,Ovary,2018,Female,All Races and Ethnicities,6.1,532,6471727,7,3,1
17,Florida,Ovary,2018,Female,All Races and Ethnicities,6.1,1039,10858944,7,3,1
18,Massachusetts,Ovary,2018,Female,All Races and Ethnicities,6.1,303,3542925,7,3,1
19,Missouri,Ovary,2018,Female,All Races and Ethnicities,6.1,264,3116702,7,3,1
20,Michigan,Ovary,2018,Female,All Races and Ethnicities,6.2,431,5067862,7,3,1
21,Delaware,Ovary,2018,Female,All Races and Ethnicities,6.2,46,498641,7,3,1
22,Minnesota,Ovary,2018,Female,All Races and Ethnicities,6.2,231,2813822,7,3,1
23,Maryland,Ovary,2018,Female,All Races and Ethnicities,6.2,252,3111203,7,3,1
24,Idaho,Ovary,2018,Female,All Races and Ethnicities,6.2,64,873205,7,3,1
25,Pennsylvania,Ovary,2018,Female,All Races and Ethnicities,6.3,617,6529381,7,3,1
26,Kentucky,Ovary,2018,Female,All Races and Ethnicities,6.3,188,2263603,7,3,1
27,Iowa,Ovary,2018,Female,All Races and Ethnicities,6.4,145,1581655,7,3,1
28,Nebraska,Ovary,2018,Female,All Races and Ethnicities,6.4,75,964240,7,3,1
29,New York,Ovary,2018,Female,All Races and Ethnicities,6.4,894,10046133,7,3,1
30,Nevada,Ovary,2018,Female,All Races and Ethnicities,6.4,120,1508820,7,3,1
31,Wisconsin,Ovary,2018,Female,All Races and Ethnicities,6.4,265,2918181,7,3,1
32,Connecticut,Ovary,2018,Female,All Races and Ethnicities,6.5,169,1829397,7,3,1
33,California,Ovary,2018,Female,All Races and Ethnicities,6.5,1579,19843136,7,3,1
34,Virginia,Ovary,2018,Female,All Races and Ethnicities,6.5,366,4318025,7,3,1
35,Wyoming,Ovary,2018,Female,All Races and Ethnicities,6.5,23,283325,7,3,1
36,Kansas,Ovary,2018,Female,All Races and Ethnicities,6.5,125,1460588,7,3,1
37,Indiana,Ovary,2018,Female,All Races and Ethnicities,6.6,285,3394211,7,3,1
38,Georgia,Ovary,2018,Female,All Races and Ethnicities,6.7,425,5399300,7,3,1
